id,tweet,label
1529674771272720385,علموه ان المفارق علي المشتاق شين وعلموه ان كان ناسي تراني ما نسيت,2
1529670812009123841,صاح قلبي وكان وده يتبعك وطاحت دموعي لان الحظ شين ليه تشتتني وانا اللي اجمعك ليه تتركني وانا كلي حنين,2
1529662339674517504,طارق الحبيب  انسحب عليه لا عاد يقدم برامج ولا احد ينشرله شيء وانا عهدي فيه من قبل كورونا ما لقي موضوع يفتحه الا حق ابوه وجده وهذا الشي يخصه اذا ابوه وجده ماهم اهل للتربيه والعلم فليس كل الناس ابوك وجدك يا طارق الحبيب ويا شين الكبر اذا جاء معه هذيان وخرف,2
1529660162109235201,ليش محد قال اسمي معقوله لهالدرجه شين,2
1529653398273937408,شف البعض منهم البعض يعميهم الريال حتي لو هو شين يحس انه زين,2
1529651873292210177,مين هذا شين وقوي عين ياخساره ايمن يحيي فيهم,2
1529647222060728322,شين الفعايل تجبر الخاطر يعوف,2
1529646379269775361,نذل بشكل وفوق ذالك التنمر وربي انه شين لكن حسابه عند ربي,2
1529645943942963202,شين الفعايل تجبر الخاطر يعوف,2
1529645866184851456, فسرت حلمي وطلع التفسير جدا شين,2
1529642905484283904,هه الهياط شين,2
1529642888392482822,يا شين الهقوه لا هقيتها باحد ماكنت حاسب لها حساب,2
1529641395388092416,يا شين حقين الطب وسوالفهم اكرهكم,2
1529638221742755853,تراك من ليله تتويج الفيحاء وسقوط نادي الفساد ما نامت عينك تذرف الدمع ي شين الجبناء,2
1529637477404839938,يا اصرفي عليهم ولا انثبري هذا الي ناقص بعد تقيمين حاجه الناس وتقيمين وضع اهلهم اذا بيصرفون عليهم ولا لا يا شين الانانيه بعد,2
1529635691558232066,ياسعود ماورا حظي سلام جعل كل شين مرني مايمرك لا يغرك ان كان بالوجه ابتسام والله ان العلوم الخافيه ماتسرك,2
1529633532548681728,ي شين الناس كريهين,2
1529631721511059456,يا شين السؤال الاهتمام من الشخص الخطا,2
1529620498530836480,اتمني رجلي ماعاد توطوط علي ذبحني الخفقان يا شين شي ما شابه اهله,2
1529620001933623297,علي قوله الاولين يا شين شي ما شابه اهله,2
1529611998157279234,مافي ابرد من وجهك شين وقوي عين اذلف,2
1529609629868630018,يا وحشه غيابك ويا شين فراقك ويا كبر ذنبك لو تحسبني نسيتك,2
1529606959628013568,يعني اذا طلع شين او مغصوبه عليه تطلع,2
1529606272743526400,يا شين السماجه لو تحب كوعك ما راح يستظيفونك,2
1529605904458465281,هذا القانون اللي اغلب الناس مصدقينه وهو خرطي كل مافي الموضوع ان حظك شين,2
1529601849682272257,شين وقواه عين فوق ما انه غلطان يتواقح علي ناس,2
1529601411947941896,شين الفعايل تجبر الخاطر يعوف,2
1529597218205868033,صاح قلبي وكان وده يتعبك وطاحت دموعي لان الحظ شين ليه تشتتيني وانا الي اجمعك ليه تتركيني وانا كلي حنين,2
